name,description,url,position,street,city,county,state,country,postal_code,phone,email,unformatted
Karvinský pivovar,,http://www.restauraceovecka.cz,"49.8434752,18.5624925",,,,,,,723933108,ovecka@restauraceovecka.cz,"Restaurace Ovečka, ul.Polská 117/8, Karviná-Ráj, 73401"
Klášterní pivovar Strahov,,http://www.klasterni-pivovar.cz,"50.0867356,14.3884076",,,,,,,,info@klasterni-pivovar.cz,"Strahovské nádvoří 301, Praha 1, 118 00"
Koliba a pivovar U Tří králů,,http://www.kolibautrikralu.cz,"49.4720459,17.0884502",,,,,,,,,"Finská, Prostějov 796 01"
Křinický pivovar Krásná Lípa,,http://www.krinickypivovar.cz,"50.9139562,14.5076701",,,,,,,773 289 605,,"Křinické náměstí 7/12, 407 46 Krásná Lípa"
Libocký pivovar Praha,,http://www.libockypivovar.cz,"50.0924815,14.323962",,,,,,,724 518 761,patek@nadsarkou.cz,"Evropská 134/209, 161 00 Praha-Liboc"
Líšeňský pivovar Brno,,http://www.lisenskypivovar.cz,"49.2107723,16.6798126",,,,,,,,lisenskypivovar@seznam.cz,"Kotlanova 5, Brno-Líšeň"
Litoměřický pivovárek Koliba,,http://www.kolibahotel.cz,"50.5365923,14.1532374",,,,,,,,koliba@post.cz,Českolipská 2100 Litoměřice
Malostránský pivovar Velké Meziříčí,,http://www.jelinkovavila.cz,"49.3547359,16.0100847",,,,,,,,hotel@jelinkovavila.cz,"Třebičská 342/10, 594 01 Velké Meziříčí"
Městský pivovar Gabretus Volary,,http://www.hotelbobik.eu,"48.9113722,13.8918759",,,,,,,398 990 909,recepce@hotelbobik.eu,"Náměstí 325, 38 451 Volary"
Městský podorlický pivovar v Rychnově nad Kněžnou,,http://www.pivovarrychnov.cz,"50.1715995,16.278668",,,,,,,,info@sodo.cz,Kaštany 435; 516 01 Rychnov n. Kněžnou
Minipivovar a pivnice U Stočesů,,http://www.ustocesu.cz,"49.7380806,13.5851056",,,,,,,,pivo@ustocesu.cz,"Sokolská 282, 337 01 Rokycany"
Minipivovar Balkán Uherský Brod,Closed 2013,,"49.028073,17.6430398",,,,,,,,,Na Dlouhých 218; 688 01 Uherský Brod
Minipivovar Beeránek,,http://www.beeranek.cz,"48.9747771,14.4724312",,,,,,,386 360 186,info@singerpub.cz,"Česká ulice 7/55, České Budějovice 37001"
Minipivovar Beznoska Praha,,http://www.skolicka.cz,"50.1173703,14.507234",,,,,,,,skolicka@centrum.cz,"Klíčovská 805/11, Praha 9 / Prosek"
Minipivovar Bzenec,,,"48.973141,17.2887037",,,,,,,,sladek@knezihora.com,"Partyzánská 1012, 696 81 Bzenec"
Minipivovar Černý Orel Jindřichův Hradec,,,"49.1444823,15.0061389",,,,,,,"384 361 252, 777 799 224",info@grandhotelcernyorel.cz,"Grand hotel Černý Orel, nám.Míru 165/I, 37701 Jindřichův Hradec"
Minipivovar Černý orel Kroměříž,,http://www.cerny-orel.eu,"49.2983209,17.3923407",,,,,,,,,"Velké náměstí 24, 767 01  Kroměříž"
Minipivovar Chotěšov,,,"50.4397911,14.0851541",,,,,,,,,410 02 Chotěšov
Minipivovar Chotoviny,,http://www.pivovarchotoviny.cz,"49.4789649,14.6811676",Na nádvoří 1,Chotoviny,,,,,,adamek@pivovarchotoviny.cz,Chotoviny
Minipivovar Dobřany,,http://www.modra-hvezda.cz,"49.6548327,13.2930773",,,,,,,,pivovar@modra-hvezda.cz,Náměstí T.G.Masaryka 159; 334 41 Dobřany
Minipivovar Dolní Sklenov,,http://www.pivovar-hukvaldy.cz,"49.6238069,18.2218978",,,,,,,,pivovar.hukvaldy@atlas.cz,"Dolní Sklenov 33, 739 46 Hukvaldy"
Minipivovar Excelent Rýmařov,,http://www.excelent.cz,"49.9301991,17.2689697",,,,,,,,hotel@excelent.cz,Pivovarská 10; 795 01 Rýmařov
Minipivovar Faltus Česká Třebová,,http://www.pivovar-faltus.cz,"49.9008935,16.4492365",,,,,,,,,"Moravská 207, Česká Třebová"
Minipivovar Garage Ostrava,,http://www.garageclub.cz,"49.8566537,18.1784797",,,,,,,,,Ostrava-Martinov
Minipivovar Groll,,http://www.pivovargroll.cz,"49.7503849,13.3807738",,,,,,,,info@pivovargroll.cz,Truhlářská 10 Plzeň
Minipivovar Harrachov,,http://www.sklarnaharrachov.cz,"50.7824707,15.4194987",,,,,,,,obchod@sklarnaharrachov.cz,"Nový Svět 95, 512 46 Harrachov v Krkonoších"
Minipivovar Jeseník,,http://www.minipivovarjesenik.cz,"50.2323404,17.2011556",,,,,,,,info@minipivovarjesenik.cz,"Otakara Březiny 1369/2B, 790 01 Jeseník"
Minipivovar Kahan Most,,http://www.mosteckykahan.cz,"50.4968826,13.6408514",,,,,,,,,"Obránců míru 2629/5, 434 01 Most"
Minipivovar Karel IV. Karlovy Vary,,http://www.becherplatz.cz,"50.2318521,12.8719616",,,,,,,,info@becherplatz.cz,"T. G. Masaryka 57, 360 01 Karlovy Vary"
Minipivovar Kněžínek,,,"48.9756578,14.480255",,,,,,,385 510 155,info@rkcnovedvory.cz,"Rekreační a Kongresové Centrum,Nové Dvory 2235, České Budějovice"
"Minipivovar Kněžínek, České Budějovice",,http://www.knezinek.cz/,"49.0030299,14.4036984",Nové Dvory 2235,,České Budějovice,,,,,info@rkcnovedvory.cz,
Minipivovar Kocour Varnsdorf,,http://www.pivovar-kocour.cz,"50.9200834,14.6030831",Rumburská 1920,Varnsdorf,,,,,,,Varnsdorf
Minipivovar Kohutka Vyšní Lhoty,,,"49.6429863,18.4805846",,,,,,,,kohutka.pivovar@gmail.com,"Vyšní Lhoty 197, 739 51 Vyšní Lhoty"
Minipivovar Kolštejn,,http://www.pivovarkolstejn.cz,"50.1532602,17.0118544",,,,,,,,pivovar@relaxkolstejn.cz,"Branná 56, 788 25 Branná"
Minipivovar Kounice,,http://www.kounickypivovar.cz,"50.108264,14.8540452",,,,,,,,info@kounickypivovar.cz,"Kounice 52, 289 15"
Minipivovar Krmelín,,http://www.minipivovarkrmelin.cz,"49.7269547,18.2352378",,,,,,,,info@minipivovarkrmelin.cz,"Brušperská 24, Krmelín 739 24"
Minipivovar Kubík Hradec Králové,,http://www.ukohoutahk.cz,"50.1748207,15.8477913",,,,,,,,pkzhk@seznam.cz,"Profesora Smotlachy 1275/34; Hradec Králové, 500 08"
Minipivovar Kunc Hodonín,,,"48.850405,17.127667",,,,,,,,minipivovar.kunc@seznam.cz,Národní třída 10/264; 695 01 Hodonín
Minipivovar Kvasar  Sentice,,,"49.3090418,16.4436303",,,,,,,,pivokvasar@gmail.com,Sentice 13; Tišnov; 666 03
Minipivovar Kvilda,,http://www.pekarnakvilda.cz,"49.0205972,13.5793356",,,,,,,,info@pekarnakvilda.cz,"Kvilda 75, 384 93 Kvilda"
Minipivovar Labuť,,http://www.minipivovarlabut.cz,"50.5350787,14.1349922",,,,,,,,info@olor.cz,"Zítkova 784/5, 412 01 Litoměřice"
Minipivovar Lipník nad Bečvou,,http://www.pivovar-lipnik.cz,"49.5265407,17.5872174",,,,,,,,radeksekanina@seznam.cz,"ulice 28. října 20/6; 751 31 Lipník nad Bečvou,"
Minipivovar Lišák,,,"49.2786456,17.0407126",,,,,,,608 675 870,,"Topolany 19, 68201"
Minipivovar Lucky Bastard,,http://www.lucky-bastard.cz,"49.1950602,16.6068371",,,,,,,608 110 686,luckybastard@imakers.cz,Brno
Minipivovar     Luční bouda,,http://www.lucnibouda.cz,"50.7345403,15.696888",,,,,,,,info@lucnibouda.cz,"Pec pod Sněžkou 203, 542 21 Pec pod Sněžkou"
Minipivovar Mačice,,,"49.2265195,13.6799708",,,,,,,,,Mačice
Minipivovar Mamut Mikulov,,http://www.pivovarmamut.cz,"48.8017426,16.6342705",,,,,,,,info@pivovarmamut.cz,"Pod Platanem 43, 692 01 Mikulov"
Minipivovar Matuška Broumy,,http://www.pivovarmatuska.cz,"49.9550193,13.851521",,,,,,,,info@pivovarmatuska.cz,"U radnice 115, 267 42 Broumy"
Minipivovar Maxmilian,,http://www.pivomaxmilian.cz,"49.2916582,17.3993799",,,,,,,,petr@pivomaxmilian.cz,"K Vodojemu 4328/6,767 01 Kroměříž"
Minipivovar Medlešice,,http://www.medlesice.cz,"49.9794963,15.7715511",,,,,,,,pivovar.medlesice@seznam.cz,Medlešice č.2; 538 31
Minipivovar MMX Lety,,http://www.mmxpivo.com,"49.9232946,14.2586446",,,,,,,,info@mmxpivo.cz,Pražská 1361; Lety u Dobřichovic 252 29
Minipivovar Moravský Žižkov,,http://www.pivovar.in,"48.835605,16.9325287",,,,,,,,info@pivovar.in,"Chalúpky 485, Moravský Žižkov 691 01"
Minipivovar Moritz,,http://www.hostinec-moritz.cz,"49.5909236,17.2500136",,,,,,,,info@hostinec-moritz.cz,"Nešverova 2, Olomouc"
Minipivovar Obořiště,,http://www.novyrybnik.com,"49.7498645,14.1430843",,,,,,,,penzion@novyrybnik.com,"Obořiště u Dobříše 53, PSČ 262 12 Obořiště"
Minipivovar Olomouc - Svatý Kopeček,,http://www.svatokopeckepivo.cz,"49.6306072,17.3390467",,,,,,,,sladek@svatokopeckepivo.cz,"Krejčího 122/4, 779 00 Olomouc-Sv. Kopeček"
Minipivovar Osek nad Bečvou,,http://www.osecan.cz,"49.510056,17.5193787",,,,,,,,,"Osek nad Bečvou 76, 751 22 Osek nad Bečvou"
Minipivovar Parník Přerov,,http://www.restauraceparnik.cz,"49.4448467,17.4507093",,,,,,,,parnikpivovar@seznam.cz,"Tovární 6, 750 02 Přerov"
Minipivovar Pegas Brno,,http://www.hotelpegas.cz,"49.1962656,16.6071714",,,,,,,,,Jakubská 4; 602 00; Brno
Minipivovar Permon,,http://www.pivopermon.cz,"50.17838,12.6373662",Komenského 77,Sokolov,,,,356 01,,,
Minipivovar Radnice,,,"49.8567597,13.6130951",,,,,,,,pivovar@radnicenet.cz,"Puchmajerova 606, 338 28 Radnice"
Minipivovar Radouš Šťáhlavy,,http://www.minipivovar-stahlavy.ic.cz,"49.6756061,13.5038421",,,,,,,,vilidestroj@seznam.cz,"Náves Republiky 55, 332 03 Šťáhlavy"
Minipivovar Ratíškovice,,,"48.9200144,17.1656129",,,,,,,,restaurace@namlyne.com,696 02 Ratíškovice
Minipivovar Rohov,,http://www.u-komarku.cz,"50.0156075,18.0714067",,,,,,,,info@u-komarku.cz,"Slezská č. p. 86, 747 25 Rohov"
Minipivovar Rožnov pod Radhoštěm,,,"49.4567323,18.1368453",,,,,,,,,"Pivovarská 6, Rožnov pod Radhoštěm 756 61"
Minipivovar Skřečoňský žabák,,http://www.skreconskyzabak.cz,"49.8992048,18.373727",,,,,,,,zabak@zabak.cz,"Blatná 554, 735 31 Bohumín-Skřečoň"
Minipivovar Slepý krtek Ujkovice,,http://www.minipivovar-ujkovice.cz,"50.4382482,15.1281321",,,,,,,,havlas.marek@seznam.cz,"Ujkovice 52, 294 04 Dolní Bousov"
Minipivovar Slezan,,http://www.pivovarslezan.cz,"49.7907315,17.8959025",,,,,,,,,"Leskovec, Opava"
Minipivovar SPŠPT,,,"50.0696746,14.415684",,,,,,,,,"Podskalská 10, Praha 2"
Minipivovar Srní,,http://www.plzen-info.cz/penzion_srni_u_zlateho_srnce,"49.0853486,13.48101",,,,,,,,zlatysrnec@trendstav.cz,"Č.p. E45, 341 92 Srní"
Minipivovar Štramberk,,http://www.truba.cz,"49.590927,18.1170638",,,,,,,,pivo@relaxvpodhuri.cz,"Náměstí 7, Štramberk"
Minipivovar Studánka,,http://www.minipivovar.eu,"50.8106244,15.0315538",,,,,,,,,"Albrechtická 227, Liberec - Krásná Studánka, 460 01"
Minipivovar Svatý Ján,,http://www.pivovarek.cz,"50.0032722,15.2086503",,,,,,,,info@pivovarek.cz,"Polepy 232, 280 02 Kolín"
Minipivovar Syrovar,,http://www.syrovar.cz,"49.0258225,17.2639387",,,,,,,,,696 84 Syrovín
Minipivovar Třinec,,,"49.6307402,18.6808767",,,,,,,,,Třinec-Karpentná
Minipivovar U Bezoušků Průhonice,,http://www.ubezousku.cz,"50.0015106,14.5608065",,,,,,,,ubezousku@seznam.cz,Květnové nám.5; 252 43 Průhonice
Minipivovar U dvou koček,,http://www.udvoukocek.cz,"50.083495,14.4205379",,,,,,,,udvoukocek@volny.cz,Uhelný trh 415/10; 110 00 Praha 1
Minipivovar U Fleků,,http://www.ufleku.cz,"50.0789076,14.4169266",,,,,,,,ufleku@ufleku.cz,Křemencova 11; 110 01 Praha 1
Minipivovar U Formánků Hostivice,Looks like they stopped to brew their own beer,http://www.uformanku.cz,"50.0777005,14.2532375",,,,,,,,,"Kmochova 456, 253 01 Hostivice"
Minipivovar U Hušků Běleč nad Orlicí,,http://www.pivovaruhusku.webnode.cz,"50.2009664,15.9922361",,,,,,,,pepa.voltr@centrum.cz,Běleč nad Orlicí 2; Třebechovice pod Orebem; 503 46
Minipivovar U Medvídků,,http://www.umedvidku.cz,"50.0828431,14.418389",,,,,,,,info@umedvidku.cz,Na Perštýně 7. 100 01 Praha 1
Minipivovar U Richarda,,http://www.uricharda.eu,"49.2073956,16.4838763",,,,,,,,restaurace@uricharda.eu,"Ríšova 12, Brno-Žebětín"
Minipivovar U rytíře Lochoty Plzeň,,,"49.7703757,13.3632974",,,,,,,,leas@volny.cz,"Karlovarská třída 103, 323 17 Plzeň"
Minipivovar Valášek Vsetín,,http://www.minipivovar.com,"49.3462712,17.9950279",,,,,,,,valasek@minipivovar.com,Dolní Jasenka 169; Vsetín 755 01
Minipivovar Ve Dvoře Vratimov,,http://www.hostinecvedvore.com,"49.7727914,18.3065264",,,,,,,,hostinecvedvore@seznam.cz,"K Sokolovně 135, 739 32 Vratimov"
Minipivovar Velichov,,,"50.2844133,13.0128679",,,,,,,,,"Velichov č.p. 84, 363 01 Ostrov"
Minipivovar Veselka Litomyšl,,http://www.veselka.lit.cz,"49.8709247,16.3167059",,,,,,,,,"Terezy Novákové 64, 570 01 Litomyšl"
Minipivovar Vojkovice,,http://www.minipivovarkonicek.cz,"49.0532788,16.5819444",,,,,,,,minipivovarkonicek@seznam.cz,Vojkovice 10
Minipivovar Vyšší Brod,,http://www.vysebrodskypivovar.cz,"48.6162187,14.3127818",,,,,,,,jiri.fojtl@seznam.cz,"Kaplická 28, 382 73 Vyšší Brod"
Minipivovar Žamberk,,http://www.pivovarzamberk.wz.cz,"50.0873009,16.4652007",,,,,,,,jana.kalouska@seznam.cz,"České armády 1400, Žamberk 564 01"
Minipivovar Zašová,,http://www.pivovarbon.cz,"49.4718042,17.9711369",,,,,,,,,Valašské Meziříčí
Minipivovar Ždírec nad Doubravou,,,"49.6965601,15.8189104",,,,,,,,minigal.ranc@seznam.cz,"Žďárská 22, 582 63 Ždírec nad Doubravou"
Minipivovar Železná Ruda,,http://www.hotelbelveder.cz,"49.2255779,13.2126518",,,,,,,,info@hotelbelveder.cz,"Železná Ruda 189, 340 04;"
Minipivovar Zobak Bílovec,,http://www.hoteluholubu.cz,"49.760017,18.0198558",,,,,,,,,"Ostravská 483/5, 74301 Bílovec"
Minipivovar Žumberk,,,"48.8174832,14.67036",,,,,,,,zpa@seznam.cz,"Žumberk 15, 374 01 Trhové Sviny"
Na hradbách,Gorgeous garden,,"50.0636063,14.4223237",V Pevnosti,Praha,okres Hlavní město Praha,Praha,Česko,12800,,,
Pikopivovar Letohrádek,,http://www.letohradek.estranky.cz/,"49.5847339,18.3506107",,,,,,,,petr.maslonka@gmail.com,"U letohrádku 143, 739 11 Frýdlant nad Ostravicí"
Pivovar Avar,,http://www.pivovar-avar.estranky.cz,"49.8974575,18.1871339",,,,,,,,info@pivovaravar.cz,Pode zdí 148; 748 01 Hlučín
Pivovar Benešov,,http://www.pivovarferdinand.cz,"49.7801283,14.6904682",,,,,,,,ferdinand@pivovarferdinand.cz,Táborská 306; 256 43; Benešov
Pivovar Bobr Zadní Třebaň,,http://www.pivovarbobr.cz,"49.9196727,14.2094936",,,,,,,603 237 502,info@pivovarbobr.cz,"U mlýna 8, 267 29 Zadní Třebaň"
Pivovar Březnice,,http://www.pivovar-herold.cz,"49.5575135,13.9584999",Zámecký obvod 31,Březnice,,,,262 72,,pivovar.herold@atlas.cz,Březnice; 262 72
Pivovar Broumov,,http://www.pivovarbroumov.cz,"50.6036752,16.3350853",,,,,,,,pivovar@pivovarbroumov.cz,tř.Osvobození 55; 550 01 Broumov-Olivětín
Pivovar Budějovický Budvar,,http://www.budvar.cz,"48.9935766,14.4761973",,,,,,,,,Karolíny Světlé 4; 370 21 České Budějovice
Pivovar Čechmánek,,http://www.pivovarcechmanek.cz,"49.2315035,17.6832657",,,,,,,778 411 410,,"2. května 2728, 760 01 Zlín"
Pivovar Černá Hora,,http://www.pivovarcernahora.cz,"49.4151648,16.5810782",,,,,,,,,Černá Hora 3/5; 679 21
Pivovar Český Krumlov,,http://www.eggenberg.cz,"48.81692,14.2968921",,,,,,,,pivovar@eggenberg.cz,Latrán 27; 381 15 Český Krumlov
Pivovar Chalupník Perštejn,,http://www.pivochalupnik.cz,"50.3836452,13.1110986",,,,,,,605 274 328,info@pivochalupnik.cz,"Husova 47, 431 63 Perštejn"
Pivovar Chodovar,,http://www.chodovar.cz,"49.8932115,12.7273239",,,,,,,,,Pivovarská 107; 348 13 Chodová Planá
Pivovar Chotěboř,,http://www.pivovarchotebor.cz,"49.6964138,15.8023175",,,,,,,,media@pivovarchotebor.cz,"Průmyslová 1755, 583 01 Chotěboř"
Pivovar Dalešice,,http://www.pivovar-dalesice.cz,"49.1308808,16.0798927",,,,,,,,,"Dalešice 71, 675 54"
Pivovárek Melichárek,,http://www.pivovarekmelicharek.cz,"49.6391955,17.2115507",,,,,,,,petr.melicharek@email.cz,"1.máje 10, 783 35 Horka nad Moravou"
Pivovárek Morava Frýdek-Místek,,http://www.pivovarekmorava.cz,"49.6768189,18.3330453",,,,,,,702 287 589,info@pivovarekmorava.cz,"Jiřího Trnky 82, 738 01 Frýdek-Místek"
Pivovárek pánů z Růže,,,"49.1385203,15.0086905",,,,,,,775 165 511,panuzruze@seznam.cz,"Vídeňská 159, 377 01 Jindřichův Hradec"
Pivovárek & restaurant U Pašáka,,,"49.7467528,13.3678223",,,,,,,,pivopasak@seznam.cz,"Poděbradova 12, 301 00 Plzeň"
Pivovar Hanušovice,,http://www.holba.cz,"50.0699273,16.9276936",,,,,,,,,Pivovarská 261; 788 33 Hanušovice
Pivovar Havlíčkův Brod,,http://www.hbrebel.cz,"49.6102556,15.576611",,,,,,,,,Dobrovského 2027; 580 01 Havlíčkův Brod
Pivovar Hlinsko,,http://www.rychtar.cz,"49.76002,15.914948",,,,,,,,pivo@rychtar.cz,Resslova 260; 539 01 Hlinsko v Čechách
Pivovar Hostivar Praha,,http://www.pivovar-hostivar.cz,"50.0451493,14.5524232",,,,,,,,info@pivovar-hostivar.cz,"Lochotínská ul., 109 00 Praha 10, Praha-Horní Měcholupy"
Pivovar Hostomice,,http://pivovarhostomice.cz,"49.82344,14.0441213",Pivovarska 214,Hostomice,,,,,,,
Pivovar hotel Na Rychtě,,http://www.pivovarnarychte.cz,"50.6597487,14.0420555",,,,,,,,,"Klášterní 75/9, 400 01 Ústí nad Labem"
Pivovar Hrádek,,http://www.pivovar-hradek.cz,"49.0741339,17.8890198",,,,,,,,info@pivovar-hradek.cz,"Družstevní I 195, 763 21 Slavičín - Hrádek na Vlárské dráze"
Pivovar Humpolec,Bernard,http://www.bernard.cz,"49.539955,15.3597836",,,,,,,,pivovar@bernard.cz,5.května 1; 396 01 Humpolec
Pivovar Jihlava,,http://www.pivovar-jihlava.cz,"49.3974101,15.5825542",,,,,,,,ms@pivovar-jihlava.cz,Vrchlického 2; 586 01 Jihlava
Pivovar Kácov,,http://www.pivovarkacov.cz,"49.7768551,15.0293867",,,,,,,,pivovar@pivovarkacov.cz,V Podskalí 6; 285 09 Kácov
Pivovar Karásek a Stülpner,,http://www.karasekastulpner.cz,"50.4595568,13.4126351",,,,,,,602 668 899,info@karasekastulpner.cz,"28.října 1081/19, 430 01 Chomutov"
Pivovar Klášter Hradiště nad Jizerou,,http://www.pivovarklaster.cz,"50.5234085,14.9447287",,,,,,,,,"Klášter, Hradiště nad Jizerou; 294 15"
Pivovar Kolčavka,,http://www.pivovarkolcavka.cz/,"50.1082969,14.4823829",Nad Kolčavkou 8,Praha 8,,,,,,,
Pivovar Kout na Šumavě,,http://www.pivovarkout.eu,"49.4025594,13.0020932",,,,,,,,janskala@email.cz,Kout na Šumavě
Pivovar Kozlíček,,http://www.pivovar-kozlicek.cz,"49.2595805,15.3170051",,,,,,,,milan.kozlicek@pivovar-kozlicek.cz,Horní Dubenky 145; 588 51 Batelov
Pivovar Krušovice,,http://www.krusovice.cz,"50.1722568,13.775132",,,,,,,,distribuce@krusovice.net,Krušovice; 270 53
Pivovar Kynšperk nad Ohří,,http://www.pivovar-kynsperk.cz/,"50.1240414,12.5313622",,,,,,,,pivovar-kynsperk@seznam.cz,"Sokolovská 482/40, 357 51 Kynšperk nad Ohří"
Pivovar Litovel,,http://www.litovel.cz,"49.6988089,17.074787",,,,,,,,pivo@litovel.cz,Palackého 934; 784 05 Litovel
Pivovar Malenovice,,http://www.zlinskysvec.cz,"49.2056572,17.597181",,,,,,,,zlinskysvec@email.cz,"Švermova 101, 763 02  Zlín-Malenovice"
Pivovar Malý Rohozec,,http://www.pivorohozec.cz,"50.6107902,15.147971",,,,,,,,,Malý Rohozec 29; 511 01 Turnov
Pivovar Mazák,,http://www.pivovarmazak.cz,"48.8600719,17.027571",,,,,,,,info@pivovarmazak.cz,Hlavní 382; 696 17 Dolní Bojanovice
Pivovar Milana Rambouska,,http://www.rambousek.wz.cz,"50.2101081,15.8355086",,,,,,,,rambousek.milan@centrum.cz,"Velké nám. 130, 500 03 Hradec Králové"
Pivovar Modrava,,,"49.028744,13.5189352",,,,,,,776 888 088,modrava.penzion@seznam.cz,"Modrava 2e, 341 92 Modrava"
Pivovar Mordýř,,http://www.pivovarmordyr.cz,"50.076449,15.9202118",,,,,,,"604618668, 731779746",pivovarmordyr@seznam.cz,"Dašická 300, 533 75 Dolní Ředice"
Pivovar Náchod,,http://www.primator.cz,"50.4149678,16.1713792",,,,,,,,marketing@primator.cz,Dobrošovská 130; 547 40 Náchod
Pivovar Nošovice,,http://www.radegast.cz,"49.6607252,18.4263362",,,,,,,,pilsner@ileo.cz,739 51 Nošovice
Pivovar Nová Paka,,http://www.novopackepivo.cz,"50.4872537,15.5244278",,,,,,,,broucek@novapaka.cz,Pivovarská 400; 509 01 Nová Paka
Pivovar Nová Sladovna,,http://www.nova-sladovna.cz,"49.9409216,17.9007451",,,,,,,553 820 130,gastronomieopava@gastro-opava.cz,"U Fortny 49/10, 746 01 Opava"
Pivovar Nymburk,,http://www.postriziny.cz,"50.1766273,15.0340976",,,,,,,,nymburk@postriziny.cz,Pražská 581; 288 25 Nymburk
Pivovar Ostravar,,http://www.ostravar.cz,"49.8388045,18.2736615",,,,,,,,,Hornopolní 57; 728 25 Ostrava
Pivovar Pardubice,Pernštejn,http://www.pernstejn.cz,"50.0355032,15.7620468",,,,,,,,pivovar@pernstejn.cz,Palackého 250; 530 33 Pardubice
Pivovar Pelhřimov,,http://www.pivovarpoutnik.cz,"49.4305512,15.2205436",,,,,,,,,Pivovarská 856; 393 01 Pelhřimov
Pivovar Podkováň,,http://www.podkovan.cz,"50.4189881,14.7828609",Kováň 21,Kováň,,,,294 30,,acpodkovan@podkovan.cz,
Pivovar Podlesí,,http://www.pivovarpodlesi.cz,"49.6898811,13.9820523",,,,,,,326 531 949,info@pivovarpodlesi.cz,"Podlesí 139, 26101"
Pivovar Pod Lípou Kyšice,,http://www.ubytovani-podlipou.cz,"49.7537615,13.4845964",,,,,,,777 333 159,info@ubytovani-podlipou.cz,"Náves 20, 330 01  Kyšice u Plzně"
Pivovar Polička,,http://www.pivovar-policka.cz,"49.7107427,16.2600654",,,,,,,,pivovar@pivovar-policka.cz,Pivovarská 151; 572 14 Polička
Pivovar Přerov,,http://www.zubr.cz,"49.4502971,17.4476692",,,,,,,,,Komenského 35; 750 51 Přerov
Pivovar Protivín,,http://www.pivovar-protivin.cz,"49.204813,14.2178965",Pivovar 168,Protivín,,,,,,obchod@pivo-platan.cz,Pivovarská 1; 398 12 Protivín
Pivovar Radas Střítež,,http://www.radas.cz,"49.6792969,18.5689801",,,,,,,558 694 426,radas@radas.cz,"Střítež 98, 739 59"
Pivovar Rakovník,,http://www.rakovnikbeer.cz,"50.1067014,13.7278696",,,,,,,,info@rakovnikbeer.cz,"Havlíčkova 69, 269 01 Rakovník"
Pivovar & restaurant U krále Ječmínka,,http://www.ukralejecminka.cz,"49.4722584,17.1166086",,,,,,,,,"Újezd 4a, 796 01 Prostějov"
Pivovar Ruprenz,,http://www.pivoruprenz.cz,"49.3412444,15.6451021",,,,,,,,pivoruprenz@email.cz,"Brtnice-Uhřínovice 26, 588 32 Brtnice"
Pivovar Santon,,,"49.075615,16.6855513",,,,,,,,pivosanton@seznam.cz,"č.p. 440, 664 57 Měnín"
Pivovarská bašta Vrchlabí,,http://www.hotel-vrchlabi.cz,"50.642965,15.6085329",,,,,,,,hotelbasta@hotelbasta.cz,Horská 198; 543 02 Vrchlabí; 
