name,description,url,position,street,city,county,state,country,postal_code,phone,email
"Balatontourist Ifjúsági Kemping, H-Sóstó",,,"46.93853,18.13084",,,,,,,,
"Balatontourist Kristóf Motel és Kemping, H-Balatonalmádi",,,"47.0253,18.01018",,,,,,,,
"Balatontourist Lidó Kemping, H-Balatonszemes, Ady Endre u. 8., +36 (84) 360-112",,,"46.81308,17.77295",,,,,,,,
"Balatontourist Napfény Kemping, H-Révfülöp",,,"46.82856,17.64043",,,,,,,,
"Balatontourist Strand-holiday Kemping, H-Balatonakali",,,"46.88263,17.76886",,,,,,,,
"Balatontourist Vadvirág Kemping, H-Balatonlelle",,,"46.80085,17.74018",,,,,,,,
"Balatontourist Venus Kemping, H-Balatonszepezd",,,"46.86101,17.67345",,,,,,,,
"Balatontourist Yacht Kemping, H-Balatonalmádi",,,"47.02069,18.00837",,,,,,,,
"Baradla Kemping és Turistaszálló, H-Aggtelek",,,"48.47163,20.49234",,,,,,,,
"Barlang Kemping, H-Abaliget",,,"46.13731,18.11536",,,,,,,,
"Békástó Panzió Étterem és Kemping, H-Diósjenő",,,"47.94378,19.04936",,,,,,,,
"Bella Kemping, H-Poroszló",,,"47.6485,20.6428",,,,,,,,
"Bene-hegy Kemping, H-Csepreg",,,"47.39918,16.67645",,,,,,,,
"Bikercamp, H-Budapest",,,"47.48015,19.09846",,,,,,,,
"Bikini Camping, H-Balatonalmádi",,,"47.01726,18.00653",,,,,,,,
"Blue Flamingo Camping, H-Diósd",,,"47.39485,18.9358",,,,,,,,
"Bodrog Turistaház és Kemping, H-Felsőberecki",,,"48.35748,21.69248",,,,,,,,
"Borostyán kemping, H-Mezőkovácsháza",,,"46.40045,20.92731",,,,,,,,
"Borostyántó Kemping és Étterem, H-Zalalövő, Borostyán u. 19., +36 (30) 947-4936",,,"46.8518,16.57014",,,,,,,,
"Borostyán-tó Kemping, H-Zalalövő",,,"46.85401,16.56991",,,,,,,,
"Boroszlán Motel és Kemping, H-Farkasgyepű",,,"47.20453,17.62719",,,,,,,,
"Bortó Panzió és Kemping, H-Mád",,,"48.1759,21.3007",,,,,,,,
"Brenner Gold Kemping, H-Gárdony",,,"47.20286,18.61316",,,,,,,,
"Bungalows Kemping, H-Fadd",,,"46.46522,18.82177",,,,,,,,
"Camping Delta, H-Balatonederics",,,"46.7901,17.38528",,,,,,,,
"Camping, H-Leányfalu",,,"47.72155,19.08266",,,,,,,,
"Camping, H-Lillafüred",,,"48.09615,20.62135",,,,,,,,
"Camping Idyll, H-Nagyváty",,,"46.05899,17.93382",,,,,,,,
"Camping Motel, H-Makó",,,"46.20351,20.45533",,,,,,,,
"Camping Vének, H-Vének",,,"47.73601,17.75985",,,,,,,,
"Camping West, H-Kőszeg",,,"47.39178,16.5505",,,,,,,,
"Caraván Camping, H-Gyenesdiás, Madách út 43., +36 (83) 316-020",,,"46.76487,17.28997",,,,,,,,
"Castrum Gyógycamping, H-Galambok",,,"46.51997,17.12344",,,,,,,,
"Castrum Gyógykemping és Panzió, H-Hévíz",,,"46.78351,17.19605",,,,,,,,
"Castrum Kemping és Panzió, H-Balf",,,"47.65235,16.65745",,,,,,,,
"Castrum Kemping, H-Balatongyörök",,,"46.76888,17.3647",,,,,,,,
"Castrum Termálcentrum, H-Zalakaros",,,"46.53135,17.12358",,,,,,,,
"Castrum Termálkemping, H-Cegléd",,,"47.20096,19.73824",,,,,,,,
"Castrum Termálkemping, H-Füzesgyarmat",,,"47.09538,21.20488",,,,,,,,
"Castrum Termálkemping, H-Hajdúböszörmény",,,"47.68373,21.499",,,,,,,,
"Castrum Termálkemping, H-Lenti",,,"46.61906,16.53321",,,,,,,,
"Castrum Termálkemping, H-Nagyatád",,,"46.23916,17.36423",,,,,,,,
"City Camping, H-Tiszafüred",,,"47.62546,20.7498",,,,,,,,
"Csalogány Kemping, H-Zirc",,,"47.28532,17.87265",,,,,,,,
"Csalogány Tábor és Kemping, H-Csapod",,,"47.5106,16.91501",,,,,,,,
"Csattogó Völgyi Üdülőházak, H-Verőce",,,"47.82515,19.02218",,,,,,,,
"Csendes Kemping, H-Alsóörs",,,"46.99236,17.98529",,,,,,,,
"Csillag Kemping és Vendégház, H-Mecseknádasd",,,"46.22123,18.46111",,,,,,,,
"Csini Kemping, H-Hollóháza",,,"48.5364,21.41326",,,,,,,,
"Dánfoki Üdülőközpont, H-Békés",,,"46.75955,21.1537",,,,,,,,
"Debrő Vendégház, H-Feldebrő",,,"47.80578,20.24488",,,,,,,,
"Delta Camping, H-Balatonederics, Hrsz. 075, +36 (87) 466-020",,,"46.79046,17.3854",,,,,,,,
"Deseda Kemping, H-Dénesmajor",,,"46.39755,17.82326",,,,,,,,
"Diákkemping, H-Köveskál",,,"46.88294,17.60547",,,,,,,,
"Diana Camping, H-Aszófő",,,"46.9304,17.83289",,,,,,,,
"Dieter's Kemping, H-Tiszafüred",,,"47.62547,20.74836",,,,,,,,
"Diófa Kemping és Étterem, H-Gergelyiugornya",,,"48.11958,22.34701",,,,,,,,
"Dióliget Kemping, H-Tiszabecs",,,"48.10631,22.82552",,,,,,,,
"Diósjenői Kemping, H-Diósjenő, Petőfi Sándor utca 61., +36 (35) 364-134",,,"47.94787,19.0308",,,,,,,,
"Doborgazi sátorozóhely, H-Doborgazsziget",,,"47.96186,17.34325",,,,,,,,
"Doboz-Szanazugi Ifjúsági Központ, H-Szanazug",,,"46.70028,21.26771",,,,,,,,
"Dömös Camping, H-Dömös",,,"47.7653,18.91529",,,,,,,,
"Dorcas Center & Camping, H-Vekeri-tó",,,"47.44868,21.68951",,,,,,,,
"Dori Hotel, H-Camping & Restaurant, H-Fertőd",,,"47.62367,16.87125",,,,,,,,
"Drégelyvár Nomád Tábor, H-Drégelypalánk",,,"48.04146,19.04903",,,,,,,,
"Duna Büfé és Camping, H-Neszmély",,,"47.73545,18.34661",,,,,,,,
"Duna Camping, H-Esztergom",,,"47.799,18.75075",,,,,,,,
"Duna Camping Panzió és Kikötő, H-Tahitótfalu",,,"47.75148,19.08101",,,,,,,,
"Éden Camping, H-Miskolctapolca",,,"48.06646,20.75616",,,,,,,,
"Éden, H-Neszmély",,,"47.7405,18.38932",,,,,,,,
"Éden Kemping, H-Gyenesdiás",,,"46.77028,17.28906",,,,,,,,
"Éden Kemping, H-Süttő",,,"47.75758,18.44738",,,,,,,,
"Eldorádó Fogadó és Kemping, H-Vonyarcvashegy",,,"46.7548,17.31704",,,,,,,,
"Erdei Motel és Kemping, H-Veszprém",,,"47.09353,17.89363",,,,,,,,
"Esthajnalcsillag Sátorozóhely, H-Kisbodak",,,"47.89956,17.41903",,,,,,,,
"Európa Kemping, H-Korpád",,,"46.14275,17.95711",,,,,,,,
"Eurostrand Camping és Ifjúsági Tábor, H-Sarud",,,"47.58006,20.61165",,,,,,,,
"Éva Camping, H-Bük-fürdőtelep",,,"47.38276,16.78723",,,,,,,,
"Ezüstpart Kemping, H-Széplak",,,"46.89853,18.005",,,,,,,,
"Falutábor, H-Bodajk",,,"47.31324,18.20694",,,,,,,,
"Família Kemping, H-Pécs",,,"46.08783,18.26234",,,,,,,,
"Fényes Fürdő és Kemping, H-Tata",,,"47.66486,18.30826",,,,,,,,
"Fenyves Camping és Vendégház, H-Őrimagyarósd",,,"46.89581,16.54564",,,,,,,,
"Flóra Gyógyfürdő Kemping, H-Kapuvár",,,"47.59551,17.03778",,,,,,,,
"Flotta Kemping, H-Tiszafüred",,,"47.6145,20.75661",,,,,,,,
"Forrás Camping, H-Magyarhertelend, Bokréta utca 105., +36 (72) 521-110",,,"46.19082,18.1416",,,,,,,,
"Forró Fogadó Étterem és Panzió, H-Röszke",,,"46.19885,20.01325",,,,,,,,
"Forró Kemping, H-Röszke, E5 főút 4., +36 (62) 273-245",,,"46.19902,20.0137",,,,,,,,
"Fortuna, H-Felsőpáhok",,,"46.78478,17.15093",,,,,,,,
"Fortuna Kemping, H-Törökbálint",,,"47.43141,18.90072",,,,,,,,
"Fürdő kemping, H-Püspökpuszta",,,"46.0045,18.89195",,,,,,,,
"Füzes Camping-Panzió és Strandfürdő, H-Abádszalók",,,"47.48018,20.58883",,,,,,,,
"Gábor Tanya, H-Ballószög",,,"46.8637,19.55295",,,,,,,,
"Galopp Major, H-Némediszőlő",,,"47.3442,19.20165",,,,,,,,
"Garabonciás Kemping, H-Gergelyiugornya",,,"48.12101,22.3483",,,,,,,,
"Göcsej Camping, H-Kustánszeg",,,"46.789,16.68218",,,,,,,,
"Gran Camping és Ifjúsági Szállás, H-Esztegom",,,"47.78656,18.72943",,,,,,,,
"Gunarasi Castrum Gyógykemping, H-Dombóvár",,,"46.39825,18.16556",,,,,,,,
"Gyógyfürdő, H-Strand és Camping, H-Kiskőrös",,,"46.62081,19.27388",,,,,,,,
"Gyógyfürdő Kemping, H-Gárdony",,,"47.18963,18.62393",,,,,,,,
"Gyógykemping, H-Martfű",,,"47.01993,20.26898",,,,,,,,
"Gyöngyvirág Camping, H-Kőszeg",,,"47.39331,16.5425",,,,,,,,
"Gyopár Természetbarát Kemping, H-Esztergom",,,"47.79758,18.75322",,,,,,,,
"Györöki Ifitábor, H-Balatongyörök, Szépkilátó, +36 (30) 824-8348",,,"46.7695,17.3641",,,,,,,,
"Györöki Ifitábor, H-Balatongyörök, Szépkilátó, +36 (92) 312-770",,,"46.7688,17.36123",,,,,,,,
"Hajdú Camping, H-Hajdúszoboszló",,,"47.45086,21.40666",,,,,,,,
"Haller Kemping, H-Budapest",,,"47.47693,19.0836",,,,,,,,
"Hartai sátorhely, H-Harta",,,"46.69231,19.00978",,,,,,,,
"Hawaii Kemping, H-Budapest",,,"47.55526,19.0689",,,,,,,,
"Hegyalja Kemping, H-Tokaj",,,"48.12098,21.4188",,,,,,,,
"Hegyi Camping, H-Szilvásvárad",,,"48.0961,20.38768",,,,,,,,
"Hernád Camping, H-Abaújvár",,,"48.52545,21.3108",,,,,,,,
"Hóbort Üdülő Camping, H-Dombrád",,,"48.2404,21.9289",,,,,,,,
"Hőforrás Kemping és Ifjúsági szálló, H-Igal",,,"46.54218,17.94383",,,,,,,,
"Hőforrás Kemping, H-Igal, Acsai u. 1., +36 (82) 372-025",,,"46.54532,17.94464",,,,,,,,
"Holdfény Kemping, H-Szeliditópart",,,"46.61527,19.03594",,,,,,,,
"Hollóstetői Hegyi Kemping, H-Bükkszentkereszt",,,"48.06589,20.59271",,,,,,,,
"Holt Duna Camping, H-Lipót",,,"47.8622,17.45756",,,,,,,,
"Honvéd Kemping, H-Balatonkenese",,,"47.03417,18.09142",,,,,,,,
"Horgász és Családi Camping- Panzió és Étterem, H-Tiszafüred",,,"47.62348,20.74033",,,,,,,,
"Horgásztábor, H-Tiszadob",,,"48.01306,21.16982",,,,,,,,
"Horgásztanya Kemping, H-Boldogasszonyfa",,,"46.17925,17.83753",,,,,,,,
"Hotel Sóstó Turistaszálló és Camping, H-Sóstógyógyfürdő",,,"48.00846,21.72503",,,,,,,,
"Ifjúsági Kemping, H-Velence",,,"47.2298,18.6633",,,,,,,,
"Iglauer Park, H-Városlőd",,,"47.13964,17.64784",,,,,,,,
"Igrice Camping, H-Sóstógyógyfürdő",,,"48.0009,21.72851",,,,,,,,
"Jonathermál kemping, H-Majsafürdő",,,"46.52135,19.74705",,,,,,,,
"Jumbo Camping, H-Üröm",,,"47.60135,19.01948",,,,,,,,
"Juno Hotel Camping, H-Komárom, Bem J. u. 5., +3634540061",,,"47.74253,18.13413",,,,,,,,
"Junó Hotel és Camping, H-Komárom",,,"47.74253,18.13416",,,,,,,,
"Jurta Camping, H-Visegrád",,,"47.784,18.97172",,,,,,,,
"Karaván Kemping, H-Bogács",,,"47.91168,20.53053",,,,,,,,
"Katamarán Kemping, H-Tiszafüred",,,"47.60866,20.7545",,,,,,,,
"Katica kemping, H-Tivadar",,,"48.06369,22.5158",,,,,,,,
"Kékcápák, H-Tokaj",,,"48.11618,21.41355",,,,,,,,
"Kék-Duna Camping és Üdülőházak, H-Dunaföldvár",,,"46.81215,18.92678",,,,,,,,
"Kék Tó Kemping, H-Gyékényes",,,"46.2404,16.9854",,,,,,,,
"Kék-tó Kemping, H-Lengyeltóti",,,"46.67416,17.6604",,,,,,,,
"Kemping és Üdülőfalu, H-Keszthely, Balatonpart 1., +36 (83) 312-782",,,"46.74621,17.24388",,,,,,,,
"Kemping, H-Bakonybél",,,"47.27605,17.71583",,,,,,,,
"Kemping, H-Diósjenő",,,"47.94861,19.02898",,,,,,,,
"Kemping, H-Kisoroszi",,,"47.80825,18.99305",,,,,,,,
"Kemping, H-Mártély",,,"46.47016,20.2314",,,,,,,,
"Kemping, H-Nemesbük",,,"46.82455,17.14088",,,,,,,,
"Kemping Hotel, H-Szatymaz",,,"46.34336,20.04166",,,,,,,,
"Kemping, H-Polgár",,,"47.8804,21.11165",,,,,,,,
"Kemping, H-Répáshuta",,,"48.04893,20.52288",,,,,,,,
"Kemping, H-Székesfehérvár",,,"47.20323,18.3997",,,,,,,,
"Kemping, H-Tamási",,,"46.62558,18.28533",,,,,,,,
"Kemping, H-Tuzsér",,,"48.34407,22.10593",,,,,,,,
"Kemping Motel, H-Szatymaz",,,"46.34925,20.03316",,,,,,,,
"Kerekes Telepi Kemping, H-Debrecen",,,"47.50908,21.63891",,,,,,,,
"Keszthelyi Castrum Camping, H-Keszthely",,,"46.76808,17.2594",,,,,,,,
"Király Völgy Kemping, H-Gyöngyöspata",,,"47.81978,19.7886",,,,,,,,
"Kis-Duna Motel, H-Camping és Restaurant, H-Mosonmagyaróvár",,,"47.84361,17.28334",,,,,,,,
"Kisegítő Camping, H-",,,"48.07328,19.28255",,,,,,,,
"Kiskocsma sátorozóhely, H-Tejfalusziget",,,"47.96011,17.34103",,,,,,,,
"Kiskúti Camping Motel, H-Győr",,,"47.6977,17.6675",,,,,,,,
"Kisvesszősi sátorozóhely, H-Cikolasziget",,,"47.93645,17.37998",,,,,,,,
"Kőbérc Kemping Panzió, H-Nagybózsva",,,"48.47506,21.46825",,,,,,,,
"Komp Vendégház és Étterem, H-Olaszliszka",,,"48.23866,21.42416",,,,,,,,
"Kormorán Kemping, H-Tiszafüred",,,"47.60783,20.71861",,,,,,,,
"Körös-Toroki Kemping és Faházak, H-Csongrád",,,"46.71518,20.18533",,,,,,,,
"Lauder-Joint Camping, H-Szarvas",,,"46.8645,20.56619",,,,,,,,
"Liget Fürdő, H-Gyomaendrőd",,,"46.93938,20.8358",,,,,,,,
"Liget Klub Ifjúsági Szálláshely és Kemping, H-Isaszeg",,,"47.51748,19.37132",,,,,,,,
"Liget Panzió és Kemping, H-Szarvas",,,"46.86151,20.53536",,,,,,,,
"Lővér kemping, H-Sopron",,,"47.66225,16.58888",,,,,,,,
"Magyar sziget Csattogó-völgy, H-Verőce",,,"47.8341,19.0258",,,,,,,,
"Mandel Camping, H-Paloznak",,,"46.98378,17.93251",,,,,,,,
"Marcel Panzió, H-Pizzéria és Camping, H-Mogyoród",,,"47.59986,19.26013",,,,,,,,
"Máré Vára Kemping, H-Magyaregregy",,,"46.23385,18.30845",,,,,,,,
"Margaréta Kemping, H-Biatorbágy",,,"47.46976,18.81743",,,,,,,,
"Márk Camping, H-Gyula",,,"46.64714,21.28563",,,,,,,,
"Mátra Kemping, H-Sástó",,,"47.84371,19.95813",,,,,,,,
"Mediano Thermal Camping - A Kemping, H-Komló, Fürdő u. 8., +36 (72) 481-981",,,"46.17839,18.22027",,,,,,,,
"Metró Tennis Camping, H-Budapest",,,"47.5293,19.16895",,,,,,,,
"Millér Panzió és Szabadidőpark, H-Szolnok",,,"47.17963,20.24616",,,,,,,,
"Mini Camping, H-Budapest",,,"47.60463,19.06933",,,,,,,,
"Mini Camping, H-Gyula",,,"46.64605,21.28985",,,,,,,,
"Morotva Kemping, H-Tiszafüred",,,"47.62211,20.73689",,,,,,,,
"Nádas Kemping, H-Szanazug",,,"46.69971,21.26686",,,,,,,,
"Napfény Hotel, H-Motel és Camping, H-Szeged",,,"46.26465,20.12166",,,,,,,,
"Napfény Termálkemping, H-Kiskunhalas",,,"46.43265,19.4715",,,,,,,,
"Napsugár Camping, H-Fonyód",,,"46.73927,17.55061",,,,,,,,
"Napsugár Camping, H-Jászszentandrás",,,"47.58827,20.18144",,,,,,,,
"Naro Kemping, H-Balatonföldvár",,,"46.85231,17.88968",,,,,,,,
"Natura Kemping, H-Ács",,,"47.72306,18.0396",,,,,,,,
"Nemeskócsag Kemping, H-Gárdony",,,"47.19902,18.61144",,,,,,,,
"Nomád Camping, H-Noszvaj",,,"47.94823,20.4634",,,,,,,,
"Nomád Kemping és Strand, H-Délegyháza",,,"47.2561,19.10584",,,,,,,,
"Nomád Kemping és Strand, H-Tatbánya",,,"47.57313,18.42503",,,,,,,,
"Novákpusztai Kemping, H-Kimle",,,"47.82227,17.36911",,,,,,,,
"Nyárfa Kemping, H-Poroszló",,,"47.63541,20.64131",,,,,,,,
"Nyírfa Kemping, H-Tiszaföldvár",,,"46.98586,20.25738",,,,,,,,
"Nyírfás Kemping, H-Kiskanizsa",,,"46.45728,16.945",,,,,,,,
"Oázis Szabadidőpark, H-Grébicspuszta",,,"47.67576,18.20485",,,,,,,,
"Öko-Park Panzió és Kemping, H-Szarvaskő",,,"47.98931,20.32956",,,,,,,,
"Öreg-tó Kemping, H-Tata, Fáklya u. 2., +36 34 383-496",,,"47.63822,18.34517",,,,,,,,
"Ottó Camping, H-Csepreg",,,"47.39831,16.71716",,,,,,,,
"Ózon Camping, H-Sopron",,,"47.68045,16.53823",,,,,,,,
"Pájer Kemping, H-Gyomaendrőd",,,"46.9392,20.83245",,,,,,,,
"Pákász Tanya Kemping, H-Agárd",,,"47.1933,18.59361",,,,,,,,
"Palóc Üdülő Camping, H-Jászárokszállás",,,"47.63365,19.99751",,,,,,,,
"Panoráma Camping, H-Cserszegtomaj",,,"46.80803,17.21215",,,,,,,,
"Panoráma Kemping és Panzió, H-Hollókő",,,"47.99391,19.59163",,,,,,,,
"Panoráma Kemping, H-Mecsekrákos",,,"46.14521,18.13696",,,,,,,,
"Panoráma Kemping, H-Velence",,,"47.23842,18.64243",,,,,,,,
"Pap-szigeti Kemping, H-Szentendre",,,"47.68015,19.08333",,,,,,,,
"Park Kemping, H-Vonyarcvashegy, Szent Mihály domb 1., +36 (83) 348-044",,,"46.75797,17.32918",,,,,,,,
"Parkstrand Kemping, H-Agárd",,,"47.19318,18.59351",,,,,,,,
"Partfürdő Strand és Kemping, H-Szeged",,,"46.25241,20.15948",,,,,,,,
"Party Csárda és Szabadidőpark, H-Halászi",,,"47.886,17.32105",,,,,,,,
"Patkós Csárda, H-Motel és Kemping, H-Félhalom",,,"47.59116,20.8521",,,,,,,,
"Pihenő Camping, H-Győrszentiván",,,"47.72526,17.71461",,,,,,,,
"Piknik Kemping, H-Abádszalók",,,"47.48415,20.60015",,,,,,,,
"Piroska Kemping, H-Bük",,,"47.37565,16.76276",,,,,,,,
"Privát Kemping, H-Tiszafüred",,,"47.62668,20.7493",,,,,,,,
"Privát Lakókocsi- és Sátortábor, H-Orfű, Béke út 22., +36 (72) 498-232",,,"46.15327,18.15235",,,,,,,,
"Puszta Kemping, H-Hortobágy",,,"47.57993,21.14863",,,,,,,,
"Református Kemping és Csónakház, H-Sárospatak",,,"48.3192,21.5733",,,,,,,,
"Remete-Farm Kemping, H-Gyula",,,"46.67413,21.29378",,,,,,,,
"Ring Kemping és Autósmozi, H-Mogyoród",,,"47.58805,19.24481",,,,,,,,
"Római Camping, H-Budapest",,,"47.57406,19.04943",,,,,,,,
"Romantic Kemping, H-Balatonkenese",,,"47.03921,18.08458",,,,,,,,
"Romantik Camping, H-Bükfürdő, Termál krt. 12., +36 (94) 558-050",,,"47.38403,16.7906",,,,,,,,
"Sá-ra Termálkemping, H-Hegykő",,,"47.62007,16.78492",,,,,,,,
"Sellő Kemping, H-Balatonboglár",,,"46.7785,17.64838",,,,,,,,
"Siesta, H-Alsópáhok",,,"46.7614,17.16283",,,,,,,,
"Silverpoint Camping, H-Mogyoród, Vízipark út",,,"47.57852,19.26111",,,,,,,,
"Smaragdvölgy Pihenőpark, H-Rudasbányácska",,,"48.41741,21.60786",,,,,,,,
"Solaris Camping, H-Komárom",,,"47.74335,18.13056",,,,,,,,
"Solar Üdülőfalu és Kemping, H-Alsópáhok",,,"46.77606,17.17556",,,,,,,,
"Sólyomsziget Kemping, H-Nagymaros",,,"47.80188,18.96833",,,,,,,,
"Somodi Tanya Lovaspanzió, H-Fülöpháza",,,"46.88763,19.43241",,,,,,,,
"Sóstói Lovasklub, H-Turistaház és Kemping, H-Sóstógyógyfürdő",,,"48.00966,21.7205",,,,,,,,
"Spori Sport, H-Tokaj",,,"48.11816,21.4167",,,,,,,,
"Sport Beach Camping, H-Gárdony",,,"47.2074,18.62595",,,,,,,,
"Sport Kemping, H-Abaújszántó",,,"48.26871,21.18102",,,,,,,,
"Strand Camping, H-Sümeg",,,"46.97612,17.27673",,,,,,,,
"Strand és Camping, H-Letenye",,,"46.43483,16.72466",,,,,,,,
"Strandfürdő és Kemping, H-Tarnaméra",,,"47.65168,20.16003",,,,,,,,
"Strandfürdő Kemping, H-Ózd",,,"48.22443,20.26401",,,,,,,,
"Strandfürdő Kemping, H-Törökszentmiklós",,,"47.18572,20.41308",,,,,,,,
"Strand Kemping, H-Salgótarján",,,"48.13193,19.8225",,,,,,,,
"Strand Kemping (Surf Beach), H-Siófok",,,"46.93054,18.10981",,,,,,,,
"Sugovica Szálloda és Kemping, H-Baja",,,"46.17518,18.94614",,,,,,,,
"Szabadvizű Strand és Kemping, H-Kisköre",,,"47.50629,20.52474",,,,,,,,
"Szajki Tavak Kemping, H-Hosszúpereszteg",,,"47.05475,17.01054",,,,,,,,
"Szalamandra-ház, H-Szögliget",,,"48.53945,20.66675",,,,,,,,
"Szalamandra Üdülőházak, H-Kemence",,,"48.00563,18.89249",,,,,,,,
"Széktói Autós Camping, H-Kecskemét",,,"46.9013,19.66698",,,,,,,,
"Szeleta Hotel és Kemping, H-Hámor",,,"48.10878,20.63835",,,,,,,,
"Szent Kristóf Motel és Kemping, H-Nagyoroszi",,,"48.00472,19.09124",,,,,,,,
"Szent Vendel Kemping, H-Zalaszántó",,,"46.89433,17.23164",,,,,,,,
"Szepi Kemping, H-Szeliditópart",,,"46.61835,19.03658",,,,,,,,
"Szepi Üdülő Camping, H-Dunapataj, Kastély u. 17., +36 (30) 856-6063",,,"46.61875,19.03662",,,,,,,,
"Szepi Üdülő Kemping, H-Dunapataj",,,"46.64313,18.99894",,,,,,,,
"Szigetköz Camping és Vendégház, H-Novákpuszta",,,"47.82578,17.40446",,,,,,,,
"Sziksósfürdő Strand és Kemping, H-Sziksós",,,"46.27162,20.0222",,,,,,,,
"Szőke Tisza, H-Tiszainoka",,,"46.90771,20.14914",,,,,,,,
"Talentum Sátorozóhely, H-Irota",,,"48.39869,20.87623",,,,,,,,
"Tavirózsa kemping, H-Délegyháza, Nomád part 55., +36 (30) 416-6426",,,"47.25182,19.10218",,,,,,,,
"Tavirózsa Kemping, H-Gallatanya",,,"47.25188,19.10286",,,,,,,,
"Tengerszem Camping, H-Sárospatak",,,"48.33263,21.5823",,,,,,,,
"Termálfürdő és Kemping, H-Mesteri",,,"47.21871,17.09283",,,,,,,,
"Termálfürdő és Kemping, H-Veresegyház",,,"47.6538,19.28085",,,,,,,,
"Termálkemping (gyógy- és strandfürdő), H-Túrkeve",,,"47.09801,20.7502",,,,,,,,
"Termálkemping, H-Borgátafürdő",,,"47.16141,17.09881",,,,,,,,
"Termálkemping, H-Fertőhomok",,,"47.62079,16.78466",,,,,,,,
"Termálkemping, H-Gyopárosfürdő",,,"46.5642,20.62946",,,,,,,,
"Termálkemping, H-Hajdúnánás",,,"47.83177,21.42124",,,,,,,,
"Termálkemping, H-Harkány",,,"45.85573,18.2391",,,,,,,,
"Termálkemping, H-Heves",,,"47.58993,20.28555",,,,,,,,
"Termálkemping, H-Hódmezővásárhely",,,"46.41078,20.318",,,,,,,,
"Termálkemping, H-Szentes",,,"46.65013,20.24763",,,,,,,,
"Termálkemping, H-Tiszaújváros",,,"47.93308,21.0482",,,,,,,,
"Termálkemping, H-Tóalmás",,,"47.51488,19.66845",,,,,,,,
"Termál Kemping, H-Zalakaros, Gyógyfürdő tér 6., +36 (93) 340-105",,,"46.55254,17.12762",,,,,,,,
"Termálkemping Zalatour, H-Zalakaros",,,"46.55253,17.12598",,,,,,,,
"Thermal Camping és Motel, H-Gyula",,,"46.64448,21.29573",,,,,,,,
"Thermal Camping, H-Cserkeszőlő",,,"46.86583,20.2021",,,,,,,,
"Thermal Camping, H-Csokonyavisonta",,,"46.10288,17.444",,,,,,,,
"Thermal Camping, H-Hajdúszoboszló",,,"47.4546,21.39278",,,,,,,,
"Thermal Camping, H-Tiszafüred",,,"47.62416,20.74871",,,,,,,,
"Thermál Gyógykemping, H-Bük-fürdőtelep, Termál krt. 2., +36 (94) 558-356",,,"47.38013,16.78773",,,,,,,,
"Thermal Hotel és Camping, H-Komárom",,,"47.74305,18.13378",,,,,,,,
"Thermál Kemping, H-Berekfürdő, Kemping utca 2., +36 (59) 319-162",,,"47.3885,20.8429",,,,,,,,
"Thermál Kemping, H-Bogács",,,"47.90908,20.52888",,,,,,,,
