name,description,url,position,street,city,county,state,country,postal_code,phone,email
Iglesia Reconciliación,,,"18.0655182,-66.6707292",,,,,,,,
Iglesia Sagrado Corazón,,,"18.2982861,-66.1168333",,,,,,,,
Iglesia San Andrés,,,"18.096628,-66.6596179",,,,,,,,
Iglesia San Antonio,,,"18.0480189,-66.6873962",,,,,,,,
Iglesia San Antonio de Padua,,,"18.3774484,-66.9287887",,,,,,,,
Iglesia San Augustin,,,"18.4657784,-66.1026662",,,,,,,,
Iglesia San Francisco,,,"18.4663338,-66.1132218",,,,,,,,
Iglesia San José,,,"18.2882862,-66.079055",,,,,,,,
Iglesia San José de la Montaña,,,"18.1307934,-66.075721",,,,,,,,
Iglesia San Marcos,,,"18.0385752,-66.6446177",,,,,,,,
Iglesia San Martín Porres,,,"18.2552326,-66.2240568",,,,,,,,
Iglesia San Mateo,,,"18.0627404,-66.7101744",,,,,,,,
Iglesia San Pascual,,,"18.3138405,-66.689063",,,,,,,,
Iglesia San Pedro,,,"18.1010723,-66.5071166",,,,,,,,
Iglesia San Rafael Arcangel,,,"18.474944,-66.938512",,,,,,,,
Iglesia Santa Ana,,,"18.1496805,-66.9326774",,,,,,,,
Iglesia Santa Margarita,,,"18.1744017,-66.9173994",,,,,,,,
Iglesia Santa María del Monte Carmelo,,,"18.2766201,-66.6512847",,,,,,,,
Iglesia Santa Maria Reina,,,"18.0030216,-66.6201728",,,,,,,,
Iglesia Santa Rosa,,,"18.0780165,-67.0285116",,,,,,,,
Iglesia Santa Teresita,,,"18.1891225,-67.0832351",,,,,,,,
Iglesia Virgen del Carmen,,,"18.4452229,-66.977401",,,,,,,,
Iglesia Virgen María,,,"18.1905123,-66.8482318",,,,,,,,
Isabel La Catolica,,,"18.3832798,-67.2046254",,,,,,,,
La Hermosa Temple of the Defenders of the Christian Faith,,,"18.46722,-66.115333",,,,,,,,
La Piedad Catholic Church,,,"18.4446679,-66.0326656",,,,,,,,
Misionario Evangélico,,,"18.2999525,-66.0934997",,,,,,,,
Misión Noel,,,"18.1555146,-66.5246166",,,,,,,,
Notre Senora del Rosario,,,"18.212458,-65.7357174",,,,,,,,
Nuestra Senora de la Asuncion,,,"18.1127384,-66.1657222",,,,,,,,
Nuestra Senora de Providencia,,,"18.4655006,-66.0993328",,,,,,,,
Pedro Flores,,,"18.2127358,-65.7348841",,,,,,,,
Porta Coeli Chapel,,,"18.0821829,-67.0410118",,,,,,,,
Presbyterian Church of San Juan,,,"18.4646673,-66.1184997",,,,,,,,
Saint Anthony de Padua Church,,,"18.5010537,-67.0226796",,,,,,,,
Saint Johns Episcopal Cathedral,,,"18.44849,-66.071051",,,,,,,,
Saint Johns Episcopal Church,,,"18.4668894,-66.1179441",,,,,,,,
San Antonio de Padua Church,,,"18.1860688,-66.3060023",,,,,,,,
Sancutario de Nuestra Senora de Monserrate,,,"18.1407909,-67.1268463",,,,,,,,
San Francisco Church,,,"18.4663338,-66.1134996",,,,,,,,
San Ignacio de Loyola Roman Catholic Church,,,"18.37707,-66.085911",,,,,,,,
San Isidro Labrador Church,,,"18.0071885,-65.8990511",,,,,,,,
San Jorge Catholic Church,,,"18.4502232,-66.0618324",,,,,,,,
San Jose Church,,,"18.1388483,-66.2665571",,,,,,,,
San Juan Bautista,,,"18.1802346,-66.9793445",,,,,,,,
San Miguel Arcangel Church,,,"18.2655095,-66.6990629",,,,,,,,
San Sebastian Church,,,"18.3366166,-66.990456",,,,,,,,
Santa Ana Church,,,"18.4646673,-66.115444",,,,,,,,
Stella Maris Catholic Church,,,"18.4538342,-66.068777",,,,,,,,
Temple Beth Shalom Synagogue,,,"18.451612,-66.0615546",,,,,,,,
Union Church,,,"18.451612,-66.0429433",,,,,,,,
Union Church of San Juan,,,"18.45208,-66.042312",,,,,,,,
