name,description,url,position,street,city,county,state,country,postal_code,phone,email
J+J Bar,Čepuje se Únětická 10° a 12°.,,"50.074287,14.441764",Moravská 9,Praha 2,,,Česká republika,,,
Kachna a Koráb,,,"50.094677,14.45524",Sokolovská 114,Praha 8,,,Česká republika,,,
Kavárna Do větru,,http://www.kafedovetru.cz/,"50.088028,14.352801",Na Větrníku 18,Praha 6,,,Česká republika,,,
Kavárna Kabinet,,http://www.facebook.com/KavarnaKabinet,"50.103577,14.398077",,,,,Česká republika,,,
Kavárna Liberál,,,"50.10062,14.436502",Heřmanova 6,Praha 7,,,Česká republika,,,
Kavárna Podkůvka,Čepuje se Únetická 12°.,,"50.103954,14.43449",Schnirchova,Praha 7,,,Česká republika,,,
Klub Obora,,,"50.101685,14.425199",U akademie 11,Praha 7,,,Česká republika,,,
Kulový blesk,,http://www.restauracekulovyblesk.cz/,"50.073571,14.429069",Sokolská 1499 / 13,Praha 2,,,Česká republika,,,
MENUEAT,,http://www.menueat.cz/hlavni_strana.html,"50.100877,14.398283",Československé armády 30,Praha,,,Česká republika,,,
Moravský sklípek Kafka,,,"50.098835,14.3946",Kafkova 25,Praha 6,,,Česká republika,,,
Music bar Echo,Občas se čepuje se Únětická 10°nefiltrovaná.,,"50.13168,14.338896",Velvarská,Horoměřice,,,Česká republika,,,
Na palmě,,http://www.napalme.cz/,"50.104603,14.477502",Na žertvách 32,Praha 8,,,Česká republika,,,
Na Slamníku,Čepuje se Únětická 12°.,http://www.dejrest.cz/,"50.103634,14.408424",Wolkerova 12,Praha 6,,,Česká republika,,,
Na Urale,,http://www.dejrest.cz/,"50.102524,14.402153",Uralská 9,Praha 6,,,Česká republika,,,
Na Vrškách,,,"50.160549,14.388296",Lidická 372,Roztoky,,,Česká republika,,,
Nejmenší vinárnička u středně velké vrtule,Čepuje se Únětická 12°,http://uvrtule.cz/?page_id=19,"50.046242,14.552212",Dýšinská 248,Horní Měcholupy,,,Česká republika,,,
NEKLID RESTAURANT,,http://www.neklid.com/,"50.072156,14.455003",Ruská 34,Praha 10,,,Česká republika,,,
Nota Bene,"Čepuje se Únětická 10°, 12° a speciál",http://www.notabene-restaurant.cz/,"50.07634,14.430585",Mikovcova 4,Praha 2,,,Česká republika,,,
NO way out,Čepuje se Únětická 10° a 12°.,,"50.15947,14.317288",Oldřicha Nového 836,Velké Přílepy,,,Česká republika,,,
Občerstvení U Šraněk,,http://www.usranek.unas.cz/,"50.170251,14.398729",Plavidlo 86,Roztoky,,,Česká republika,,,
Penzion V polích,"Čepuje se Únětická 12°Penzion v polích, Malé Čičovice 26, 252 68, více informací zde.",http://www.penzionvpolich.cz/index.php?lng=cz&sel=uvod,"50.153202,14.248774",Malé Ćíčovice 26,Praha-západ,,,Česká republika,,,
Petřínské terasy,Čepuje se Únětická 12°.,http://www.petrinsketerasy.cz/,"50.08226,14.39827",Seminářské zahrady 393,Praha 1,,,Česká republika,,,
Pivní Klub 300,,http://www.pivniklub300.cz/,"50.099293,14.422989",Jirečkova 15,Praha 7,,,Česká republika,,,
PIZZA GRILL GRACIA,,http://www.pizzahostivice.cz,"50.08221,14.24993",Česká 879,Hostivice,,,Česká republika,,,
Pohostinství U kavalíra,,http://www.gastro-server.com/u-kavaliru/,"50.490708,15.058187",Suhrovice 38,Kněžmost,,,Česká republika,,,
Prague Beer Museum,,http://www.praguebeermuseum.com/en/index.htm,"50.090631,14.426847",Dlouhá 46,Praha 1,,,Česká republika,,,
Prazelenina,,http://prazelenina.cz/o-prazelenine/,"50.10197,14.450309",Komunardů,Praha 8,,,Česká republika,,,
Restaurace Na Tržišti,,,"50.084819,14.4177247","Krymská 38, Praha 10",Praha 10,,,Česká republika,,,
Restaurace Pražan,Čepuje se Únětická 10° a 12°,http://www.restaurantprazan.cz/,"50.105827,14.430585",areál Výstaviště 67,Praha 7,,,Česká republika,,,
Restaurace Továrna,Čepuje se Únětická 10° a 12° a Baronovo pšeničné.,http://www.tovarnaslany.cz/,"50.228649,14.0781",Wilsonova,Slaný,,,Česká republika,,,
Restaurace v Únětickém pivovaru,,,"50.149223,14.354255",,,,,Česká republika,,,
Rock and Beer,,,"50.079143,14.427151",Ve smečkách 21,Praha 1,,,Česká republika,,,
Sokolovna,,,"50.151344,14.352844",,Únětice,,,Česká republika,,,
Špejchar,Čepuje se Únětická 12°,http://www.spejchar.wz.cz/cz/,"50.159698,14.306141",Kladenská,Velké Přílepy,,,Česká republika,,,
Starosuchdolská,Čepuje se Únětická 12°.,http://www.starosuchdolska.cz/,"50.140862,14.372818",Ke Kozím hřbetům 755/8,Praha 6 Suchdol,,,Česká republika,,,
Steakhouse Jáma,,http://www.jamapub.cz,"50.080667,14.417846",Ostrovní 26,Praha 1,,,Česká republika,,,
Studio Cafe,,,"50.128953,14.384182",Ke Kladivum 10,Praha 6,,,Česká republika,,,
Su-teren,Čepuje se zde Únětická 12°.,,"50.0993,14.423429",Jirečkova,Praha 7,,,Česká republika,,,
Tlustá Koala,"čepuje se Únětická 12° ""Koala"".",http://www.tlustakoala.cz/,"50.086445,14.429426",Senovážná 8,Praha 1,,,Česká republika,,,
U Adély,,,"50.10482,14.394627",Jugoslávských partyzánů,Praha 6,,,Česká republika,,,
U Drahušky,,http://www.fcpk.cz/restaurace.php,"50.115986,14.296359",Ke goniu 123,Přední Kopanina,,,Česká republika,,,
U Habásků,,http://www.uhabasku.cz/,"50.085254,14.450022",Štítného 16,Praha 3,,,Česká republika,,,
U hasičů,,,"50.197592,14.295112",Kozinec 12,Holubice,,,Česká republika,,,
U Kalendů,,,"50.074356,14.414071",Rašínovo nábřeží 56,Praha 2,,,Česká republika,,,
U kapličky,Čepuje se Únětická 10° filtrovaná.,,"50.125298,14.3731",Kovárenská,Lysolaje,,,Česká republika,,,
U Lasíků,,,"50.149586,14.359638",Tiché údolí,Únětice,,,Česká republika,,,
U nádraží,,,"50.19957,14.36376",,Libčice,,,Česká republika,,,
U pavouka,,,"50.025246,14.426342",Údolní,Praha 4,,,Česká republika,,,
U pětníka,Čepuje se Únětická 12°,http://www.dejrest.cz/,"50.104389,14.396317",Lotyšská 8,Praha 6,,,Česká republika,,,
U prince Miroslava,,http://uprincemiroslava.eu/,"50.061695,14.398241",U vodojemu 4,Praha 5,,,Česká republika,,,
U sudů,,,"50.076628,14.492145",Černokostelecká 18,Praha 10,,,Česká republika,,,
U Valentů,,,"50.126194,14.365969",Nad pramenem 42,Praha 6,,,Česká republika,,,
U velblouda,,,"50.099957,14.428235",Haškova,Praha 7,,,Česká republika,,,
U Wočka,,http://www.uwocka.cz/,"50.131649,14.33888",Nebušická,Horoměřice,,,Česká republika,,,
U Žabáka,,,"50.111561,14.322406",Sichrovského 19,Nebušice,,,Česká republika,,,
Večerní škola,čepuje se Únětická 10° a 12°,http://www.vecerniskola.com/,"50.108513,14.482362",Nad Kolčavkou 8,Praha 9,,,Česká republika,,,
Ve mlejně,Čepuje se Únětická 10°.,,"50.149105,14.339604",K velazu,Černý vůl,,,Česká republika,,,
Vinny sklep Gymnasium,,,"50.161986,14.334516",Úholičky,Velké Přílepy,,,Česká republika,,,
Vozovna Žižkoff,,http://www.facebook.com/pages/Vozovna-%C5%BDi%C5%BEkoff/351130784983055?ref=stream,"50.090164,14.473393",Biskupcova 42,Praha 3,,,Česká republika,,,
Vzorkovna,,,"50.0833583,14.4179463",Bartolomějská 13,Praha 1,,,Česká republika,,,
Washingtons,,,"50.080653,14.430952",Washingtonova 9,Praha 1,,,Česká republika,,,
Zlý časy,,http://www.zlycasy.eu/,"50.064062,14.443436",Čestmírova 5,Praha 4,,,Česká republika,,,
Zubatý Pes,,http://www.zubatypes.cz/cs/uvodni-strana,"50.063904,14.452697",Petrohradská 216/3,Praha 10,,,Česká republika,,,
